store_id,store,zip,price_date,source_name,source_url,price_type,eggs,milk,bread,chicken_lb,avocados_lb,bananas_lb,tomatoes_lb,strawberries_lb,collard_greens_bunch,notes
753205,SUSHI MARU (@GRISTEDES),10021,2026-05-23,Gristedes Weekly Specials,https://gristedes.com/weekly-specials/,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
737257,KIKKA@WHOLE FOODS MIDTOWN EAST,10022,2026-05-23,Whole Foods Weekly Sales,https://www.wholefoodsmarket.com/sales-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
751936,TRADER JOES #571,10022,2026-05-23,Trader Joe's Fearless Flyer,https://www.traderjoes.com/home/fearless-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
702868,WHOLE FOODS MARKET,10022,2026-05-23,Whole Foods Weekly Sales,https://www.wholefoodsmarket.com/sales-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
742906,FAIRWAY MARKET OF 74TH ST,10023,2026-05-23,Fairway Weekly Circular,https://www.fairwaymarket.com/circulars,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
762704,H MART,10023,2026-05-23,H Mart Weekly Sales,https://www.hmart.com/weekly-sales-and-events,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
742688,MORTON WILLIAMS SUPERMARKET,10023,2026-05-23,Morton Williams Store Site,https://www.mortonwilliams.com/,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
743304,SUSHILUX@FAIRWAY MKT,10023,2026-05-23,Fairway Weekly Circular,https://www.fairwaymarket.com/circulars,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
628784,TRADER JOES #542,10023,2026-05-23,Trader Joe's Fearless Flyer,https://www.traderjoes.com/home/fearless-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
629208,82ND STREET GROCERY,10024,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
758663,KEY FOOD UWS,10024,2026-05-23,Key Food / Food Universe Flyers,https://www.keyfood.com/flyers,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
751170,UPTOWN WHOLE FOODS,10024,2026-05-23,Whole Foods Weekly Sales,https://www.wholefoodsmarket.com/sales-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
623254,ASSOCIATED SUPERMARKET,10025,2026-05-23,Associated Supermarkets Weekly Ad,https://www.yapik.com/us/associated-supermarkets/weekly-ad,advertised,,,,,,,,,,Matched to third-party weekly-ad index for this chain; verify store-specific ad before final use.
732757,H MART,10025,2026-05-23,H Mart Weekly Sales,https://www.hmart.com/weekly-sales-and-events,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
628211,JUANA GROCERY,10025,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
750760,KEYFOOD FRESH,10025,2026-05-23,Key Food / Food Universe Flyers,https://www.keyfood.com/flyers,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
737259,KIKKA@WHOLE FOODS UPPER WEST SIDE,10025,2026-05-23,Whole Foods Weekly Sales,https://www.wholefoodsmarket.com/sales-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
628232,WHOLE FOODS MARKET,10025,2026-05-23,Whole Foods Weekly Sales,https://www.wholefoodsmarket.com/sales-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
624937,C TOWN SUPERMARKET,10026,2026-05-23,CTown Weekly Ad,https://www.ctownsupermarkets.com/Weekly-Ad,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
734050,JOES GROCERY,10026,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
751589,LIDL#8011,10026,2026-05-23,Lidl Weekly Ad,https://www.lidl.com/flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
711538,WEST HARLEM GROCERY,10026,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
750457,ASSOCIATED,10027,2026-05-23,Associated Supermarkets Weekly Ad,https://www.yapik.com/us/associated-supermarkets/weekly-ad,advertised,,,,,,,,,,Matched to third-party weekly-ad index for this chain; verify store-specific ad before final use.
745486,C-TOWN SUPERMARKET,10027,2026-05-23,CTown Weekly Ad,https://www.ctownsupermarkets.com/Weekly-Ad,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
625487,CROWN GROCERY,10027,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
741134,FOODTOWN,10027,2026-05-23,Foodtown Weekly Circular,https://www.foodtown.com/,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
628946,PIONEER SUPERMARKET,10027,2026-05-23,Pioneer Supermarkets Store Site,https://www.pioneersupermarkets.com/,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
737606,SHOP FAIR SUPERMARKET,10027,2026-05-23,Shop Fair Weekly Circular,https://www.shopfairsupermarkets.com/Circular4Page.aspx,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
757736,TRADER JOES 576,10027,2026-05-23,Trader Joe's Fearless Flyer,https://www.traderjoes.com/home/fearless-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
742907,FAIRWAY MARKET OF 86TH ST,10028,2026-05-23,Fairway Weekly Circular,https://www.fairwaymarket.com/circulars,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
743306,SUSHILUX@FAIRWAY MKT,10028,2026-05-23,Fairway Weekly Circular,https://www.fairwaymarket.com/circulars,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
628712,1517 NEW BANI GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
744456,1781 LEX GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
627820,2037 MEAT&GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
744808,ASSOCIATED FRESH MARKET,10029,2026-05-23,Associated Supermarkets Weekly Ad,https://www.yapik.com/us/associated-supermarkets/weekly-ad,advertised,,,,,,,,,,Matched to third-party weekly-ad index for this chain; verify store-specific ad before final use.
757705,C-TOWN FRESH MARKET,10029,2026-05-23,CTown Weekly Ad,https://www.ctownsupermarkets.com/Weekly-Ad,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
710702,EAST 110 CANDY GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
711951,EAST HARLEM GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
622421,EL PUEBLO MEXICANO GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
626050,FINE FARE SUPERMARKET,10029,2026-05-23,Fine Fare Store Site,https://www.finefaresupermarkets.com/,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.
