store_id,store,zip,price_date,source_name,source_url,price_type,eggs,milk,bread,chicken_lb,avocados_lb,bananas_lb,tomatoes_lb,strawberries_lb,collard_greens_bunch,notes,zip_target_search_url
626480,KEY FOOD 566,10009,2026-05-23,Key Food / Food Universe Flyers,https://www.keyfood.com/flyers,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.,https://duckduckgo.com/?q=%22KEY%20FOOD%20566%22%20%2210009%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
727475,NUR GROCERY,10009,,ZIP-targeted web search (manual verify),https://duckduckgo.com/?q=%22NUR%20GROCERY%22%20%2210009%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29,advertised,,,,,,,,,,"Second-pass ZIP-targeted search URL. Open link, verify official store ad/circular, then replace with confirmed source URL.",https://duckduckgo.com/?q=%22NUR%20GROCERY%22%20%2210009%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
736327,SHOP FAIR SUPERMARKET,10009,2026-05-23,Shop Fair Weekly Circular,https://www.shopfairsupermarkets.com/Circular4Page.aspx,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.,https://duckduckgo.com/?q=%22SHOP%20FAIR%20SUPERMARKET%22%20%2210009%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
739972,TRADER JOES #546,10009,2026-05-23,Trader Joe's Fearless Flyer,https://www.traderjoes.com/home/fearless-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.,https://duckduckgo.com/?q=%22TRADER%20JOES%20%23546%22%20%2210009%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
766270,WHOLE FOODS MARKET DAILY SHOP,10009,2026-05-23,Whole Foods Weekly Sales,https://www.wholefoodsmarket.com/sales-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.,https://duckduckgo.com/?q=%22WHOLE%20FOODS%20MARKET%20DAILY%20SHOP%22%20%2210009%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
742909,FAIRWAY MARKET OF CHELSEA,10010,2026-05-23,Fairway Weekly Circular,https://www.fairwaymarket.com/circulars,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.,https://duckduckgo.com/?q=%22FAIRWAY%20MARKET%20OF%20CHELSEA%22%20%2210010%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
628738,TRADER JOES #543,10010,2026-05-23,Trader Joe's Fearless Flyer,https://www.traderjoes.com/home/fearless-flyer,advertised,,,,,,,,,,Matched to chain circular/weekly-ad source.,https://duckduckgo.com/?q=%22TRADER%20JOES%20%23543%22%20%2210010%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
767911,USA GOURMET GROCERY,10010,,ZIP-targeted web search (manual verify),https://duckduckgo.com/?q=%22USA%20GOURMET%20GROCERY%22%20%2210010%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29,advertised,,,,,,,,,,"Second-pass ZIP-targeted search URL. Open link, verify official store ad/circular, then replace with confirmed source URL.",https://duckduckgo.com/?q=%22USA%20GOURMET%20GROCERY%22%20%2210010%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
625236,WESTSIDE SUPERMARKET,10011,,ZIP-targeted web search (manual verify),https://duckduckgo.com/?q=%22WESTSIDE%20SUPERMARKET%22%20%2210011%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29,advertised,,,,,,,,,,"Second-pass ZIP-targeted search URL. Open link, verify official store ad/circular, then replace with confirmed source URL.",https://duckduckgo.com/?q=%22WESTSIDE%20SUPERMARKET%22%20%2210011%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
620941,BANGKOK CENTER GROCERY,10013,,ZIP-targeted web search (manual verify),https://duckduckgo.com/?q=%22BANGKOK%20CENTER%20GROCERY%22%20%2210013%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29,advertised,,,,,,,,,,"Second-pass ZIP-targeted search URL. Open link, verify official store ad/circular, then replace with confirmed source URL.",https://duckduckgo.com/?q=%22BANGKOK%20CENTER%20GROCERY%22%20%2210013%22%20%28%22weekly%20ad%22%20OR%20circular%20OR%20flyer%20OR%20specials%29
